reel_id,page_post_id,permalink,published_at_utc,age_hours_at_capture,metric_window_type,metric_source,post_impressions,post_impressions_unique,reels_post_impressions_unique,blue_reels_play_count,fb_reels_total_plays,fb_reels_replay_count,post_video_views_3s_or_nearly_all,average_watch_time_seconds,video_length_seconds,average_watch_as_share_of_length,complete_views_organic_95pct,view_time_hours,comments,shares,reactions,observable_interactions,discovery_evidence_status,video_evidence_status,retention_status,data_fetched_at_utc,post_message
2815726225473165,1036844829507460_122153750763072582,https://www.facebook.com/reel/2815726225473165/,2026-08-20T23:04:21+00:00,69.927,lifetime_actual,Windsor_facebook_organic,451.0,393.0,390.0,408.0,451.0,43.0,0.0,4.42,30.133,0.1467,19.0,0.4973,1.0,3.0,7.0,11.0,L2_Discovery,L2_plus_watch_signals_partial,Not_complete_no_3s_or_completion_rate,2026-08-23T21:02:08,"Hay personas que se quedan en el retrovisor aunque ya no vayan contigo.

Remote Control — Sussie 4 ft. León Larregui.

¿Qué canción te lleva de vuelta sin pedir permiso?

#UniverseSentMe #EvanUSM #ElaraUSM #MomentosUSM #Sussie4 #leonlarregui"
2210896633022235,1036844829507460_122153090559072582,https://www.facebook.com/reel/2210896633022235/,2026-08-20T00:03:50+00:00,92.936,lifetime_actual,Windsor_facebook_organic,203.0,166.0,184.0,176.0,203.0,27.0,29.0,11.017,13.403,0.822,8.0,0.5325,0.0,0.0,2.0,2.0,L2_Discovery,L2_plus_watch_signals_partial,Not_complete_no_3s_or_completion_rate,2026-08-23T21:02:08,"Yo: “no pasa nada”.
Universe, dos segundos después: 🟣

Si tu chat también abre portales dimensionales, no estás solo.

#UniverseSentMe #UniverseUSM #MemesUSM"
2005557463434064,1036844829507460_122154017667072582,https://www.facebook.com/reel/2005557463434064/,2026-08-21T21:30:59+00:00,47.484,lifetime_actual,Windsor_facebook_organic,336.0,241.0,252.0,257.0,336.0,79.0,0.0,5.621,8.125,0.6918,38.0,0.3982,1.0,1.0,11.0,13.0,L2_Discovery,L2_plus_watch_signals_partial,Not_complete_no_3s_or_completion_rate,2026-08-23T21:02:08,"Universe viéndote Farmear Aura

 #UniverseSentMe #UniverseUSM"
1581447113440863,1036844829507460_122154842337072582,https://www.facebook.com/reel/1581447113440863/,2026-08-22T22:23:57+00:00,22.601,lifetime_actual,Windsor_facebook_organic,706.0,617.0,666.0,636.0,706.0,70.0,0.0,5.112,29.458,0.1735,24.0,0.8919,2.0,2.0,22.0,26.0,L2_Discovery,L2_plus_watch_signals_partial,Not_complete_no_3s_or_completion_rate,2026-08-23T21:02:08,"Ella no está disponible en este plano. 👀

 #UniverseSentMe #ElaraUSM #letithappen #tameimpala"
