Snapshot_ID,Logical_Key,Publicacion_ID,Experiment_ID,ID_Pieza,CNT,Plataforma,Cuenta_ID,Meta_Post_ID,Meta_Photo_ID,Reel_ID,Published_At_UTC,Published_At_Local,Snapshot_Type,Target_At_UTC,Captured_At_UTC,Age_Seconds,Tolerance_Seconds,Window_Status,Reactions,Comments,Shares,Lifetime_Interactions,Delta_From_E0,Source,HTTP_Status,Raw_Evidence_Path,Idempotency_Key,Anomaly_Code,Notes
MS-8096357E6473C74A7D4B,1036844829507460_122151377199072582+baseline_e0,PUB-FB-17_30-44,EXP-2026-08-CAL-01,Universe - Existencial 2607831.png,,Facebook,1036844829507460,1036844829507460_122151377199072582,,,2026-08-25T15:00:22Z,2026-08-25T10:00:22-05:00,baseline_e0,2026-08-25T15:00:22Z,2026-08-25T15:17:14.978980Z,1012.979,600,Anomaly,2,1,,,,Meta_Graph_API,200,Operations/Research/Metrics_Raw/1036844829507460_122151377199072582_baseline_e0_20260825T151714Z.json,1036844829507460_122151377199072582+baseline_e0,missing_counter,At least one contractual counter was absent; row is not canonical.; E0 hook invoked after publisher confirmed is_published=true.
MS-1CAB60E7ED3D007C02CF,1036844829507460_122151377385072582+baseline_e0,PUB-FB-17_30-46,EXP-2026-08-CAL-01,,,Facebook,1036844829507460,1036844829507460_122151377385072582,,,2026-08-25T18:30:01Z,2026-08-25T13:30:01-05:00,baseline_e0,2026-08-25T18:30:01Z,2026-08-25T19:20:15.350297Z,3014.35,600,Late,2,0,1,3,,Meta_Graph_API,200,Operations/Research/Metrics_Raw/1036844829507460_122151377385072582_baseline_e0_20260825T192015Z.json,1036844829507460_122151377385072582+baseline_e0,late_capture,Capture is outside the approved tolerance; excluded from contractual closure.; E0 hook invoked after publisher confirmed is_published=true.
