meta_id,source_row_ids,logical_status,source_count,periods,asset_ref_canonical,asset_refs_observed,filename_or_concepts,dates_observed,local_times_observed,formats_observed,metric_definitions_observed,metric_values_observed,reactions,comments,shares,metrics_consistent,inventory_id_candidates,cnt_id_status,sources_observed,notes
1036844829507460_122125549929072582,45,Unique_Logical_Publication,1,Junio_2026,260698,260698,Universe - Existencial 260698,2026-06-01,,Image,Reactions + comments + shares,5,4,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125632579072582,46,Unique_Logical_Publication,1,Junio_2026,260710,260710,Universe - Existencial 260710,2026-06-01,,Image,Reactions + comments + shares,2,1,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125638237072582,47,Unique_Logical_Publication,1,Junio_2026,260677,260677,Universe - Existencial 260677,2026-06-01,,Image,Reactions + comments + shares,2,0,0,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125642935072582,48,Unique_Logical_Publication,1,Junio_2026,260697,260697,Universe - Existencial 260697,2026-06-01,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125649037072582,49,Unique_Logical_Publication,1,Junio_2026,260688,260688,Universe - Existencial 260688,2026-06-01,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125879395072582,50,Unique_Logical_Publication,1,Junio_2026,260690,260690,Universe - Existencial 260690,2026-06-02,,Image,Reactions + comments + shares,7,5,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125889343072582,51,Unique_Logical_Publication,1,Junio_2026,260662,260662,Universe - Existencial 260662,2026-06-02,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125899687072582,52,Unique_Logical_Publication,1,Junio_2026,260703,260703,Universe - Existencial 260703,2026-06-02,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125904103072582,53,Unique_Logical_Publication,1,Junio_2026,260679,260679,Universe - Existencial 260679,2026-06-02,,Image,Reactions + comments + shares,6,5,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125909929072582,54,Unique_Logical_Publication,1,Junio_2026,260691,260691,Universe - Existencial 260691,2026-06-02,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125913145072582,55,Unique_Logical_Publication,1,Junio_2026,260694,260694,Universe - Existencial 260694,2026-06-02,,Image,Reactions + comments + shares,2,1,0,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125915659072582,56,Unique_Logical_Publication,1,Junio_2026,260689,260689,Universe - Existencial 260689,2026-06-02,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126245077072582,57,Unique_Logical_Publication,1,Junio_2026,260655,260655,Universe - Existencial 260655,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126268399072582,58,Unique_Logical_Publication,1,Junio_2026,260692,260692,Universe - Existencial 260692,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126291157072582,59,Unique_Logical_Publication,1,Junio_2026,260685,260685,Universe - Existencial 260685,2026-06-03,,Image,Reactions + comments + shares,5,2,1,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126295999072582,60,Unique_Logical_Publication,1,Junio_2026,260666,260666,Universe - Existencial 260666,2026-06-03,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126300817072582,61,Unique_Logical_Publication,1,Junio_2026,260682,260682,Universe - Existencial 260682,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126303037072582,62,Unique_Logical_Publication,1,Junio_2026,260656,260656,Universe - Existencial 260656,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126647605072582,63,Unique_Logical_Publication,1,Junio_2026,260693,260693,Universe - Existencial 260693,2026-06-04,,Image,Reactions + comments + shares,8,7,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126656881072582,64,Unique_Logical_Publication,1,Junio_2026,260686,260686,Universe - Existencial 260686,2026-06-04,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126666445072582,65,Unique_Logical_Publication,1,Junio_2026,260687,260687,Universe - Existencial 260687,2026-06-04,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126669349072582,66,Unique_Logical_Publication,1,Junio_2026,260699,260699,Universe - Existencial 260699,2026-06-04,,Image,Reactions + comments + shares,8,7,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126673171072582,67,Unique_Logical_Publication,1,Junio_2026,260680,260680,Universe - Existencial 260680,2026-06-04,,Image,Reactions + comments + shares,10,6,1,3,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126675589072582,68,Unique_Logical_Publication,1,Junio_2026,260683,260683,Universe - Existencial 260683,2026-06-04,,Image,Reactions + comments + shares,9,6,1,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127185487072582,69,Unique_Logical_Publication,1,Junio_2026,260684,260684,Universe - Existencial 260684,2026-06-05,,Image,Reactions + comments + shares,14,10,2,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127194757072582,70,Unique_Logical_Publication,1,Junio_2026,260707,260707,Universe - Existencial 260707,2026-06-05,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127204141072582,71,Unique_Logical_Publication,1,Junio_2026,260699,260699,Universe - Existencial 260699,2026-06-05,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127204261072582,72,Unique_Logical_Publication,1,Junio_2026,260706,260706,Universe - Existencial 260706,2026-06-06,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127207513072582,73,Unique_Logical_Publication,1,Junio_2026,260709,260709,Universe - Existencial 260709,2026-06-05,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127211857072582,74,Unique_Logical_Publication,1,Junio_2026,260681,260681,Universe - Existencial 260681,2026-06-05,,Image,Reactions + comments + shares,5,4,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127213801072582,75,Unique_Logical_Publication,1,Junio_2026,260705,260705,Universe - Existencial 260705,2026-06-05,,Image,Reactions + comments + shares,8,6,2,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127634803072582,76,Unique_Logical_Publication,1,Junio_2026,260714,260714,Universe - Existencial 260714,2026-06-06,,Image,Reactions + comments + shares,17,10,1,6,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127644163072582,77,Unique_Logical_Publication,1,Junio_2026,260704,260704,Universe - Existencial 260704,2026-06-06,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127647307072582,78,Unique_Logical_Publication,1,Junio_2026,260711,260711,Universe - Existencial 260711,2026-06-06,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127652773072582,79,Unique_Logical_Publication,1,Junio_2026,,014,Universe sent me - 014,2026-06-06,,Image,Reactions + comments + shares,2,0,2,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127659763072582,80,Unique_Logical_Publication,1,Junio_2026,260701,260701,Universe - Existencial 260701,2026-06-06,,Image,Reactions + comments + shares,6,5,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127661401072582,81,Unique_Logical_Publication,1,Junio_2026,260715,260715,Universe - Existencial 260715,2026-06-06,,Image,Reactions + comments + shares,3,3,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127666729072582,82,Unique_Logical_Publication,1,Junio_2026,260716,260716,Universe - Existencial 260716,2026-06-06,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127903447072582,83,Unique_Logical_Publication,1,Junio_2026,260719,260719,Universe - Existencial 260719,2026-06-07,,Image,Reactions + comments + shares,1,1,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127909777072582,84,Unique_Logical_Publication,1,Junio_2026,260712,260712,Universe - Existencial 260712,2026-06-07,,Image,Reactions + comments + shares,3,3,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127915363072582,85,Unique_Logical_Publication,1,Junio_2026,260672,260672,Universe - Existencial 260672,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127921585072582,86,Unique_Logical_Publication,1,Junio_2026,260717,260717,Universe - Existencial 260717,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
