asset_ref,filename,drive_id,source_parent_id,target_folder_id,target_folder_name,calendar_date,calendar_time,operation,copy_allowed,status,move_timing
2608041,2608041 - Maeve+kael - No me averguenza amar.jpeg,1w_hfeLqc6GIJMAIQxDAYhNwvGGVYW9-R,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-20,19:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2607831,Universe - Existencial 2607831.png,1T4q8CIhYOt8Wl1ZsJDDWZgTW_GjAGIeA,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-25,10:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608049,2608049 - Elara - Tibio tu cafe.jpeg,1Y1UTctG6SMoUTCpThHJbPVEGXmMmOwiA,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-21,13:30,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608063,2608063 - Universe - Larga vida a esas mujeres.jpeg,1tqSd44quWVGE1DAxEMXubCkhwrOXIE8l,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-22,13:30,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608057,2608057 - Fantasma - Sabes que me caeria bien.jpeg,1yY36gmw6u7VQSEuHxsTHPtzgGd7T6T57,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-23,16:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608042,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,1Ivlhuok1wM67pH_v4GKtkK3jmImgEy69,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-27,11:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
260661,Universe - Existencial 260661.png,17hUIV21cMGCpVTR_BcHYVk_GonanVQVi,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-24,10:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608053,2608053 - Universe - Quieras o no.jpeg,1hZbZKgRMsZ6oPmT8dwR1CCKZFMxVd9_N,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-24,17:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608045,2608045 - Kiri+Evan - No te voy a mentir.jpeg,1D1CSEnmeeJk-xhhh7lSKAj-zTnIwAw0f,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-29,10:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608062,2608062 - Kiri+Evan - prestame el marron.jpeg,10fDDVon1sa0h9fk7uVfRkNU4Wz66rpTe,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-25,16:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608043,2608043 - Maeve - No te pedi que me revivieras.jpeg,1NxhqrMWz_poAhV56UGqaOXyWzGXHYckC,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-25,19:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
