Queue_ID,Priority_Rank,Tier,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_Created_UTC,Drive_Modified_UTC,Drive_MimeType,Drive_Duration_ms,Date_Delta_Days,Filename_Token_Overlap,Triage_Score,Triage_Status,Decision_Status
RAQ-017,17,Tier_2,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,Reels/INSTAGRAM,2026-06-03T23:10:50.582Z,2026-06-03T23:10:50.589Z,image/png,,3.17,,4.37,Date_Proximity_Only,Queued_For_Review
RAQ-017,17,Tier_2,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,Reels/INSTAGRAM,2026-06-03T23:13:21.029Z,2026-06-03T23:13:21.036Z,image/png,,3.17,,4.37,Date_Proximity_Only,Queued_For_Review
RAQ-017,17,Tier_2,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,Reels/INSTAGRAM,2026-06-03T23:33:37.880Z,2026-06-03T23:33:37.887Z,image/png,,3.19,,4.36,Date_Proximity_Only,Queued_For_Review
RAQ-018,18,Tier_2,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,11.57,universesentme,12.69,Candidate_Visual_Review,Queued_For_Review
RAQ-018,18,Tier_2,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1hduudZ2UhqzrwFVoxs4gJryxPoBAVU1W,Wilfred_and_Elara_cosmic_radio_202606272110.mp4,Reels/Horoscopos,2026-06-28T02:10:18.055Z,2026-06-28T02:10:18.062Z,video/mp4,3999,0.01,,5.0,Date_Proximity_Only,Queued_For_Review
RAQ-018,18,Tier_2,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1ujbbAL9mAm7OCdHrlXeQ8OeIAodzFbZC,Elara_and_Wilfred_dialogue_anima…_202606271715.mp4,Reels/Horoscopos,2026-06-27T22:15:45.417Z,2026-06-27T22:15:45.425Z,video/mp4,9999,0.17,,4.97,Date_Proximity_Only,Queued_For_Review
RAQ-018,18,Tier_2,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1fB-lkJDO_BwmO99CnREcc2JK7uD5om0k,"ChatGPT Image Jun 27, 2026, 03_18_47 PM.png",Reels/Horoscopos,2026-06-27T20:18:47.384Z,2026-06-27T20:18:47.390Z,image/png,,0.25,,4.95,Date_Proximity_Only,Queued_For_Review
RAQ-018,18,Tier_2,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1HEpgyuh2DkGnGtjQIVtkaYeVwj9RFVNj,"ChatGPT Image Jun 27, 2026, 03_05_25 PM.png",Reels/Horoscopos,2026-06-27T20:05:25.747Z,2026-06-27T20:05:25.753Z,image/png,,0.26,,4.95,Date_Proximity_Only,Queued_For_Review
RAQ-019,19,Tier_2,1036844829507460_122134055109072582,1339119487723234,2026-06-27T22:39:21+0000,9,Demagoga? 🤔 #universesentme #universo #podcast,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,11.73,universesentme,12.65,Candidate_Visual_Review,Queued_For_Review
RAQ-019,19,Tier_2,1036844829507460_122134055109072582,1339119487723234,2026-06-27T22:39:21+0000,9,Demagoga? 🤔 #universesentme #universo #podcast,1ujbbAL9mAm7OCdHrlXeQ8OeIAodzFbZC,Elara_and_Wilfred_dialogue_anima…_202606271715.mp4,Reels/Horoscopos,2026-06-27T22:15:45.417Z,2026-06-27T22:15:45.425Z,video/mp4,9999,0.02,,5.0,Date_Proximity_Only,Queued_For_Review
